id: KIIP_economy_1 (0), answer: C, pred: B, response: B
id: KIIP_economy_1 (1), answer: C, pred: B, response: B
id: KIIP_economy_1 (2), answer: C, pred: B, response: B
id: KIIP_economy_2 (0), answer: A, pred: A, response: A
id: KIIP_economy_2 (1), answer: A, pred: A, response: A
id: KIIP_economy_2 (2), answer: A, pred: A, response: A
id: KIIP_economy_3 (0), answer: C, pred: C, response: C
id: KIIP_economy_3 (1), answer: C, pred: C, response: C
id: KIIP_economy_3 (2), answer: C, pred: C, response: C
id: KIIP_economy_4 (0), answer: D, pred: D, response: D
id: KIIP_economy_4 (1), answer: D, pred: D, response: D
id: KIIP_economy_4 (2), answer: D, pred: D, response: D
id: KIIP_economy_5 (0), answer: C, pred: C, response: C
id: KIIP_economy_5 (1), answer: C, pred: C, response: C
id: KIIP_economy_5 (2), answer: C, pred: C, response: C
id: KIIP_economy_6 (0), answer: B, pred: B, response: B
id: KIIP_economy_6 (1), answer: B, pred: B, response: B
id: KIIP_economy_6 (2), answer: B, pred: B, response: B
id: KIIP_economy_7 (0), answer: B, pred: B, response: B
id: KIIP_economy_7 (1), answer: B, pred: B, response: B
id: KIIP_economy_7 (2), answer: B, pred: B, response: B
id: KIIP_economy_8 (0), answer: A, pred: A, response: A
id: KIIP_economy_8 (1), answer: A, pred: A, response: A
id: KIIP_economy_8 (2), answer: A, pred: A, response: A
id: KIIP_economy_9 (0), answer: C, pred: A, response: A
id: KIIP_economy_9 (1), answer: C, pred: C, response: C: 경공업
id: KIIP_economy_9 (2), answer: C, pred: A, response: A
id: KIIP_economy_10 (0), answer: C, pred: C, response: C
id: KIIP_economy_10 (1), answer: C, pred: C, response: C
id: KIIP_economy_10 (2), answer: C, pred: C, response: C
id: KIIP_economy_11 (0), answer: D, pred: C, response: C
id: KIIP_economy_11 (1), answer: D, pred: C, response: C
id: KIIP_economy_11 (2), answer: D, pred: C, response: C
id: KIIP_economy_12 (0), answer: A, pred: A, response: A
