id,trial,answer,pred,response
KIIP_economy_1,0,C,B,B
KIIP_economy_1,1,C,B,B
KIIP_economy_1,2,C,B,B
KIIP_economy_2,0,A,A,A: 79달러
KIIP_economy_2,1,A,A,A: 79달러
KIIP_economy_2,2,A,A,A
KIIP_economy_3,0,C,C,C
KIIP_economy_3,1,C,C,C
KIIP_economy_3,2,C,C,C
KIIP_economy_4,0,D,D,D
KIIP_economy_4,1,D,D,D
KIIP_economy_4,2,D,D,D
KIIP_economy_5,0,C,C,C
KIIP_economy_5,1,C,C,C
KIIP_economy_5,2,C,C,C
KIIP_economy_6,0,B,B,B
KIIP_economy_6,1,B,B,B
KIIP_economy_6,2,B,B,B
KIIP_economy_7,0,B,B,B
KIIP_economy_7,1,B,B,B
KIIP_economy_7,2,B,B,B
KIIP_economy_8,0,A,A,A
KIIP_economy_8,1,A,A,A
KIIP_economy_8,2,A,A,A
KIIP_economy_9,0,C,C,C: 경공업
KIIP_economy_9,1,C,C,C: 경공업
KIIP_economy_9,2,C,C,C: 경공업
KIIP_economy_10,0,C,C,C
KIIP_economy_10,1,C,C,C
KIIP_economy_10,2,C,C,C
KIIP_economy_11,0,D,B,B: 6번째
KIIP_economy_11,1,D,C,C: 7번째
KIIP_economy_11,2,D,B,B: 6번째
KIIP_economy_12,0,A,A,A
KIIP_economy_12,1,A,A,A
KIIP_economy_12,2,A,A,A
KIIP_economy_13,0,C,B,B: 기술의 발달
KIIP_economy_13,1,C,B,B: 기술의 발달
KIIP_economy_13,2,C,B,B: 기술의 발달
KIIP_economy_14,0,C,C,"C: 5,000억 달러"
KIIP_economy_14,1,C,C,"C: 5,000억 달러"
KIIP_economy_14,2,C,C,"C: 5,000억 달러"
KIIP_economy_15,0,D,D,D
KIIP_economy_15,1,D,D,D
KIIP_economy_15,2,D,D,D
KIIP_economy_16,0,A,A,A
KIIP_economy_16,1,A,A,A
KIIP_economy_16,2,A,A,A
KIIP_economy_17,0,A,A,A: 반도체
KIIP_economy_17,1,A,A,A: 반도체
KIIP_economy_17,2,A,A,A: 반도체
KIIP_economy_18,0,C,C,C
KIIP_economy_18,1,C,C,C
KIIP_economy_18,2,C,C,C
KIIP_economy_19,0,A,C,"C: 미국, EU, 일본"
KIIP_economy_19,1,A,C,"C: 미국, EU, 일본"
KIIP_economy_19,2,A,C,"C: 미국, EU, 일본"
KIIP_economy_20,0,B,B,B
KIIP_economy_20,1,B,B,B
KIIP_economy_20,2,B,B,B
KIIP_economy_21,0,B,B,B
KIIP_economy_21,1,B,B,B
KIIP_economy_21,2,B,B,B
KIIP_economy_22,0,C,C,C
KIIP_economy_22,1,C,C,C
KIIP_economy_22,2,C,C,C
KIIP_economy_23,0,C,D,D
KIIP_economy_23,1,C,C,C: 2009년
KIIP_economy_23,2,C,C,C: 2009년
KIIP_economy_24,0,B,B,B: 10개국
KIIP_economy_24,1,B,B,B: 10개국
KIIP_economy_24,2,B,B,B: 10개국
KIIP_economy_25,0,A,A,A
KIIP_economy_25,1,A,A,A
KIIP_economy_25,2,A,A,A
KIIP_economy_26,0,C,D,D: 2010년
KIIP_economy_26,1,C,D,D
KIIP_economy_26,2,C,D,D: 2010년
KIIP_economy_27,0,A,A,A
KIIP_economy_27,1,A,A,A
KIIP_economy_27,2,A,A,A
KIIP_economy_28,0,D,D,D: 상호저축은행
KIIP_economy_28,1,D,D,D: 상호저축은행
KIIP_economy_28,2,D,D,D
KIIP_economy_29,0,A,A,A
KIIP_economy_29,1,A,A,A
KIIP_economy_29,2,A,A,A
KIIP_economy_30,0,A,A,A: 금융 실명제
KIIP_economy_30,1,A,A,A: 금융 실명제
KIIP_economy_30,2,A,A,A: 금융 실명제
KIIP_economy_31,0,A,A,A
KIIP_economy_31,1,A,A,A
KIIP_economy_31,2,A,A,A
KIIP_economy_32,0,A,A,A
KIIP_economy_32,1,A,A,A
KIIP_economy_32,2,A,A,A
KIIP_economy_33,0,A,A,A
KIIP_economy_33,1,A,A,A
KIIP_economy_33,2,A,A,A
KIIP_economy_34,0,A,A,A
KIIP_economy_34,1,A,A,A
KIIP_economy_34,2,A,A,A
KIIP_economy_35,0,A,A,A
KIIP_economy_35,1,A,A,A
KIIP_economy_35,2,A,A,A
KIIP_economy_36,0,C,C,C
KIIP_economy_36,1,C,C,C
KIIP_economy_36,2,C,C,C
KIIP_economy_37,0,B,B,B
KIIP_economy_37,1,B,B,B
KIIP_economy_37,2,B,B,B
KIIP_economy_38,0,A,A,A
KIIP_economy_38,1,A,A,A
KIIP_economy_38,2,A,A,A
KIIP_economy_39,0,A,A,A
KIIP_economy_39,1,A,A,A
KIIP_economy_39,2,A,A,A
KIIP_economy_40,0,C,C,C
KIIP_economy_40,1,C,C,C
KIIP_economy_40,2,C,C,C
KIIP_economy_41,0,C,C,C
KIIP_economy_41,1,C,C,C
KIIP_economy_41,2,C,C,C
KIIP_economy_42,0,A,B,B: 5일장
KIIP_economy_42,1,A,B,B: 5일장
KIIP_economy_42,2,A,B,B: 5일장
KIIP_economy_43,0,B,B,B
KIIP_economy_43,1,B,B,B
KIIP_economy_43,2,B,B,B
KIIP_economy_44,0,A,A,A
KIIP_economy_44,1,A,A,A
KIIP_economy_44,2,A,A,A
KIIP_economy_45,0,A,A,A
KIIP_economy_45,1,A,A,A
KIIP_economy_45,2,A,A,A: 소비자의 권리
KIIP_economy_46,0,B,B,B: 한국소비자원
KIIP_economy_46,1,B,B,B: 한국소비자원
KIIP_economy_46,2,B,B,B
KIIP_economy_47,0,A,A,A
KIIP_economy_47,1,A,A,A
KIIP_economy_47,2,A,A,A
KIIP_economy_48,0,A,A,A
KIIP_economy_48,1,A,A,A
KIIP_economy_48,2,A,A,A
KIIP_economy_49,0,A,A,A
KIIP_economy_49,1,A,A,A
KIIP_economy_49,2,A,A,A
KIIP_economy_50,0,A,A,A: 근로계약서 작성
KIIP_economy_50,1,A,A,A
KIIP_economy_50,2,A,A,A: 근로계약서 작성
KIIP_economy_51,0,B,B,B
KIIP_economy_51,1,B,B,B
KIIP_economy_51,2,B,B,B
